imgQID	file	type	nsrc	X	Y	Vx	Vy	Cov	json
56DNdfjpE0VV3wi	Stim61.png	Scatter	2	-0.325359077	-0.036092473	0.010721383	0.002737513	0.000509151	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.13449904187662998,-0.36654420984201597],[-0.11772258809582799,0.10057029045975552]],'Sigma':[[[0.0252291717791034,0.022136769111054361],[-0.001446928225110289,0.0058987708900271729]],[[-0.001446928225110289,0.0058987708900271729],[0.0040953738502240954,0.0099524998764108051]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
3wIy3TgZSxf4X2e	Stim62.png	Scatter	2	-0.112644293	0.035519006	0.019782728	0.006170398	0.00090802	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.26509805817889692,0.092841476018637681],[0.025234697888917551,0.046426920612636258]],'Sigma':[[[0.0344617634809575,0.0464443097010758],[0.0015016881064620089,0.00217046478006524]],[[0.0015016881064620089,0.00217046478006524],[0.02329348574561153,0.0084267995316959134]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
d0Wp4Y8VJScklzU	Stim63.png	Scatter	2	0.02377063	0.169593916	0.017542637	0.005208477	0.001928121	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.030854855016231322,0.13705328898165894],[0.17276587618097478,0.18154309254383227]],'Sigma':[[[0.025981875537856566,0.054809536454618793],[0.0015752837197548959,0.0075279296395509721]],[[0.0015752837197548959,0.0075279296395509721],[0.014066699569906152,0.0088122883175742253]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
bKHlTYaV9xeFRpc	Stim64.png	Scatter	2	0.031918852	0.033584184	0.003852643	0.011784561	-0.001547698	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.048017345937469653,0.028220925854189206],[0.10128643545210797,-0.040789924547911534]],'Sigma':[[[0.0219244397735785,0.00467410953587686],[-0.008991146753198823,-0.0018377600118318098]],[[-0.008991146753198823,-0.0018377600118318098],[0.025788540256910342,0.023277127500233988]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
b9PiZ4a5ftp1u6i	Stim65.png	Scatter	2	0.228973656	-0.299424261	0.009394612	0.006725899	-0.003480364	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.21652193754157359,0.29717265176090707],[-0.15540778230466379,-0.39293629766756788]],'Sigma':[[[0.048966629556358138,0.013942801806847328],[0.0037515521636905988,-0.0075898799166139253]],[[0.0037515521636905988,-0.0075898799166139253],[0.019701207958594705,0.011682751189224549]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
bHmdWA5ZdgnZgDI	Stim66.png	Scatter	2	0.043652059	0.18262507	0.007334705	0.010302518	0.001011896	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.2055783113574996,0.081390391325565511],[0.13363243000916916,0.22634834154329556]],'Sigma':[[[0.055122420083909163,0.0084674719277126609],[0.00848973084857348,0.00064458716601638886]],[[0.00848973084857348,0.00064458716601638886],[0.014109366184819906,0.049351428407568634]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
29llCmp8nfCtlLo	Stim67.png	Scatter	2	-0.006441713	0.081966357	0.006353081	0.008897294	-0.000882572	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.0082448889137567982,-0.17613015117967232],[0.0088231520906962568,0.17228320731407143]],'Sigma':[[[0.0075396308808114414,0.051403680918402861],[0.0011883045718242378,-0.015229639659282283]],[[0.0011883045718242378,-0.015229639659282283],[0.025497453905208741,0.017943211482403302]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
d53aiqz7X81AbZ4	Stim68.png	Scatter	2	0.051676381	0.172543082	0.007138275	0.006065791	-0.00269456	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.14875864902024835,-0.1611460572474647],[0.15364433663612029,0.022852193291003159]],'Sigma':[[[0.015170470851012832,0.019812404406668618],[-0.008851778593215006,0.0040281185638881408]],[[-0.008851778593215006,0.0040281185638881408],[0.01200429852948374,0.020101227932311064]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
cCPRahq2ABuALGu	Stim69.png	Scatter	2	0.236818045	0.120808126	0.008164223	0.009124031	0.001245011	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.393228201094281,0.11672064095654576],[0.11477886869549167,0.075743879646545956]],'Sigma':[[[0.020086711243023532,0.014813565952916153],[-0.0032733418681814039,0.0044388550724219116]],[[-0.0032733418681814039,0.0044388550724219116],[0.028620191650609385,0.014431816438229677]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
9Abe4DXfLpwbpNs	Stim70.png	Scatter	2	0.180978593	0.264732741	0.007470154	0.005279872	-1.54E-07	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.10788302888970314,0.3423638961119807],[0.16768237859922747,0.35792403070718004]],'Sigma':[[[0.010193115826704376,0.029115807695745639],[0.00080817099905584953,-0.0027434534447359103]],[[0.00080817099905584953,-0.0027434534447359103],[0.0097888143036320065,0.011810114644441511]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
