imgQID	file	type	nsrc	X	Y	Vx	Vy	Cov	json
dnj1Vl8ZBr4AMZw	Stim211.png	Scatter	3	-0.125120262	0.196709324	0.004150017	0.002516278	-0.000529846	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.093297116486881479,-0.021869596864627694,-0.2304053907287287],[0.17033733018195868,-0.19276353699160376,0.28430225829105532]],'Sigma':[[[0.0184056411337636,0.015955467974307021,0.013401090996179045],[0.00606257837690741,-0.012526350066834698,-0.0042962532641267013]],[[0.00606257837690741,-0.012526350066834698,-0.0042962532641267013],[0.0091597299026842313,0.048678067261962471,0.0054919329257147528]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
a4ATqAJpli6aa1M	Stim212.png	Scatter	2	0.130168444	-0.050088418	0.006246616	0.003627688	0.000355187	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.013472027172804601,0.21013388486459128],[-0.0457208124586293,-0.14547109106263573]],'Sigma':[[[0.020546228176024653,0.00937428875294318],[0.002591153052444469,-0.0017822039788042852]],[[0.002591153052444469,-0.0017822039788042852],[0.0049458169346825289,0.016811766333815165]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
eQdkX85xRNtOBb8	Stim213.png	Scatter	2	0.266815015	-0.101669786	0.004672877	0.017911851	0.0001571	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.0950337071889662,0.29906392680370864],[-0.29301568181222754,-0.03264970344265334]],'Sigma':[[[0.027373712043208369,0.0056511896928352337],[0.0049045996873881706,-0.00016850647038615509]],[[0.0049045996873881706,-0.00016850647038615509],[0.059870565072083541,0.025715984714756272]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
6PSiuINTV9OSMT4	Stim214.png	Scatter	3	0.225482375	-0.033460152	0.002364836	0.003399066	0.000946535	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.16443014761412145,0.39684734209387074,0.20875342294963153],[-0.13797600114646841,0.077161953699020458,-0.078923073636607777]],'Sigma':[[[0.0052968540054191167,0.012477211418968655,0.01646664548282192],[0.00750961169881846,0.0043865101243904005,-0.00095018424195737]],[[0.00750961169881846,0.0043865101243904005,-0.00095018424195737],[0.026287227121433564,0.0086852001739326726,0.0079183073837770686]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
3KPz1jJ5axI1x0a	Stim215.png	Scatter	2	0.329874089	0.261261441	0.006153572	0.007557088	-0.001064565	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.30273428846753059,0.31930118188936152],[0.0465512970396981,0.35419216203284865]],'Sigma':[[[0.031026422389571064,0.007789399056053312],[0.00028753227424236976,-0.0019452980617558858]],[[0.00028753227424236976,-0.0019452980617558858],[0.024887834353996753,0.01096283936659352]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
7TKaFJZQMGTEHiK	Stim216.png	Scatter	3	-0.025465213	0.068319939	0.007751666	0.001813561	0.001265261	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.19420493715355985,-0.15250289057360508,-0.057785108256401957],[0.082016290426130914,0.23435296268050435,-0.050374707425481585]],'Sigma':[[[0.039795460068580105,0.038457327756042416,0.012857680348052141],[0.0069406139555950458,0.0056588220766875877,0.0019433437475382717]],[[0.0069406139555950458,0.0056588220766875877,0.0019433437475382717],[0.0040994702075327879,0.008306228743347379,0.0073204360156516688]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
b4xa74h5RG6eqlU	Stim217.png	Scatter	3	0.092644988	0.214813518	0.003678939	0.001172181	-8.24E-05	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.11908858943845801,0.077284950834593177,0.30154390505395368],[0.21848475891042424,0.2561779667606402,0.089494840445076065]],'Sigma':[[[0.010063860233268527,0.0074117448415759934,0.058537809465885535],[0.00031052254109162472,0.00081184875074179848,-0.019098297641516604]],[[0.00031052254109162472,0.00081184875074179848,-0.019098297641516604],[0.002044705798544902,0.005267136397291817,0.012114376777989636]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
6QcdFvckDWQwtwO	Stim218.png	Scatter	2	0.151715496	0.063080768	0.006677614	0.012601417	0.006767048	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.2050805802025257,0.10123858294875374],[0.27583408391659237,-0.023400552246241463]],'Sigma':[[[0.056946650117895334,0.00898788812227543],[0.004606200150514328,0.010267122523471086]],[[0.004606200150514328,0.010267122523471086],[0.047657002257354579,0.018266340774209092]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
72KWwhbTm5m34Lc	Stim219.png	Scatter	2	0.057625582	0.175454858	0.005561502	0.007783351	0.004117729	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[0.094194506565703842,-0.035637629048315807],[0.19293403642144624,0.16764698772487152]],'Sigma':[[[0.0084987247302644852,0.018137570831692797],[0.0072732095580102961,0.00821365321987393]],[[0.0072732095580102961,0.00821365321987393],[0.012859144497574868,0.020251361981746117]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':3,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
6DzeG1u41zSiGZ8	Stim220.png	Scatter	3	-0.275396569	0.122567133	0.001272828	0.002804116	-1.84E-05	"{'nscat':600,'msz':7,'w_px':540,'h_px':540,'Mu':[[-0.31577173909752065,-0.26788333265940506,-0.26113911541429252],[0.14717218549006605,-0.036877159586147373,0.27150104369348205]],'Sigma':[[[0.047267759075423126,0.0088885026765680285,0.001645513301148372],[0.011344236336849795,-0.005118839864969504,-0.00032617959438421932]],[[0.011344236336849795,-0.005118839864969504,-0.00032617959438421932],[0.0071321773151949396,0.014112407162181526,0.024876676685676703]]],'f':[],'ax':[],'colors':[[0.49019607843137253,0.19607843137254902,0.23137254901960785],[0.12156862745098039,0.47450980392156861,0.53725490196078429],[0.85882352941176465,0.63921568627450975,0.22745098039215686]],'color_idx':1,'canvas_clr':[0.75294117647058822,0.75294117647058822,0.75294117647058822],'color_angle':[],'color_lightness':0.5,'saturation':1,'cent_marker_sz':8}"
